Home District City Tax
64 Wawaka Altoona 13786.60
187 Wawaka Altoona 13268.60
149 McDougal Almyra 19097.00
195 Closplint Altro 16610.80
189 Sonyea Aleknagik 28124.60
134 Humptulips Ailey 18169.60
200 Hawkinsville Airville 41594.00
55 Hawkinsville Airville 10756.60
99 Chenoa Allegan 13774.40
197 Vandyne Alamota 26101.00
78 Pittsburg Alamogordo 49579.40
6 McDougal Almyra 54837.40
144 Martville Airville 11032.40
193 Catoosa Almyra 21369.40
19 Streetsboro Airville 0.00
70 Everson Allenhurst 29990.40
20 Chocorua Aguada 13829.40
133 Everson Allenhurst 28363.60
17 Quarryville Aleknagik 30936.40
87 Gordonville Alderson 25891.80
151 Zuni Aleknagik 41395.00
32 Lacoochee Abbyville 38249.80
113 Delbarton Abbyville 22836.00
31 McDougal Almyra 26529.20
112 Gordonville Alderson 18357.80
182 Zuni Aleknagik 0.00
8 Miramonte Alkol 32518.80
28 Redway Aleppo 16083.20
23 Zuni Aleknagik 37655.00
170 Lacoochee Abbyville 44969.80
80 Arion Agar 31237.80
181 Miramonte Alkol 16038.20
177 Molalla Allenhurst 50881.40
49 Everson Allenhurst 26426.00
62 Lacoochee Abbyville 17995.80
178 Pittsburg Alamogordo 19147.80
189 Kingwood Ailey 26051.40
179 Mocksville Altamont 15698.00
29 Everson Allenhurst 37923.20
121 Chocorua Aguada 48229.40
44 Humptulips Ailey 14640.00
105 Howardstown Agar 12476.40
60 Hartleton Ailey 34633.80
180 Molalla Allenhurst 48005.80
41 Daisy Aguada 49726.80
126 Lochloosa Aguada 19857.80
1 Closplint Altro 16297.40
190 Kampsville Almyra 28070.00
196 Arion Agar 25362.20
178 Arion Agar 33465.80
122 Lochloosa Allegan 19255.20
5 Commack Alkol 77224.20
59 Gordonville Alderson 28727.20
33 Quarryville Aleknagik 28975.40
192 Carrington Altro 0.00
139 Everson Allenhurst 19368.00
115 Commack Alkol 49636.60
159 Towanda Altoona 36654.00
50 Daisy Aguada 30352.00
134 Hawkinsville Airville 30489.60
142 Chocorua Aguada 31703.60
64 Towanda Altoona 38813.40
191 Labolt Alamogordo 24630.80
200 Humptulips Ailey 0.00
43 Cottle Altamont 30827.60
125 Bobtown Allegan 0.00
84 Blairsville Alamogordo 10833.00
85 Everson Aline 25145.80
185 Howardstown Agar 32418.00
52 Morganza Aline 14636.20
79 Bobtown Allegan 12605.80
88 Streetsboro Airville 16024.80
50 Towanda Altoona 22641.40
5 Suffern Alkol 16360.80
65 Nittayuma Alamota 12231.80
192 Martville Airville 11904.40
147 Sonyea Aleknagik 10811.40
199 Chenoa Allegan 13774.40
148 McDougal Almyra 11059.60
1 Quarryville Aleknagik 14158.60
160 Daisy Aguada 11162.00
87 Chocorua Aguada 0.00
131 Morganza Aline 12849.00
33 Closplint Altro 18632.80
159 Daisy Aguada 11508.60
139 Redway Aleppo 42926.20
81 Riesel Agar 0.00
110 Closplint Altro 14408.20
40 Urich Aline 11228.60
143 Chocorua Aguada 52198.00
130 Blairsville Alamogordo 16477.60
197 Catoosa Almyra 30734.00
110 Chocorua Aguada 42722.20
167 Esparto Altro 51792.80
39 Sonyea Aleknagik 17215.80
76 Everson Aline 37050.00
54 Sonyea Aleknagik 17419.00
84 Streetsboro Airville 13618.00
105 Molalla Allenhurst 13387.20
